poolAddress,token0,token1,token0Symbol,token1Symbol,fee,poolType
0x0002e63328169d7feea121f1e32e4f620abf0352,0x0d438f3b5175bebc262bf23753c1e53d03432bde,0x903bef1736cddf2a537176cf3c64579c3867a881,wNXM,ICHI,3000,other
0x0004cd8474e882278e32e584699090be496f410e,0x0ec78ed49c2d27b315d462d43b5bab94d2c79bf8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,MEOW,USDC,3000,other
0x000ba527862e5b82cff0f7c66b646af023274aa1,0x5afe3855358e112b5647b952709e6165e1c1eeee,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,SAFE,WETH,3000,eth_paired
0x000ea4a83acefdd62b1b43e9ccc281f442651520,0x4fabb145d64652a948d72533023f6e7a623c7c53,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,BUSD,WETH,3000,eth_paired
0x002899596a0fba6a5264c9daee2d7db42ce3c859,0xb873aea797b1c12925c2cc0ca4988d22fe8b39e8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,HYPE,WETH,3000,eth_paired
0x003896387666c5c11458eeb3f927b72a11b19783,0x0f81001ef0a83ecce5ccebf63eb302c70a39a654,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,DOLO,USDC,3000,other
0x0045db3994a0dc7c4dff0a778aaf039c3a7fc3f5,0x32c6f1c1731ff8f98ee2ede8954f696446307846,0xf3b9569f82b18aef890de263b84189bd33ebe452,BEARDY,CAW,3000,other
0x0045eedee878af5e38f161ce76e1333cb5941a5f,0x69beae1989c518ca4e22fefc5b398205bef73ec5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FNMA,WETH,10000,eth_paired
0x0053b4fbc57dc86aa298a9acd6b4b172bb6de259,0x696813d417f1c850de0ab298c16851cb41e90e54,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,WETH,10000,eth_paired
0x005d18833f28a0bd5587130b146633f9e6e1ce62,0x37a5e369516935637256ed0bd3cc743eb87f8c0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FERRARI,WETH,3000,eth_paired
0x006c59d5d4632a21a45b1beb48df122634ff81af,0x677ddbd918637e5f2c79e164d402454de7da8619,0xdac17f958d2ee523a2206206994597c13d831ec7,VUSD,USDT,500,other
0x0087d67f43695a1e55959381c9c075cecb9562f1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd3a7385d5d95381b874a873371e7fd88495586e0,WETH,XAU,3000,eth_paired
0x00a9205611cc32ec9c0d16fc58f31b9355ec7ade,0x65ccd72c0813ce6f2703593b633202a0f3ca6a0c,0xdac17f958d2ee523a2206206994597c13d831ec7,EGG,USDT,10000,other
0x00b72483a1a638e8863f10e378d090cec2770305,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,WETH,USDT,3000,eth_paired
0x00c07a7e77c9ffa6e0e3c58790e0dcb81cef89e1,0xa444ec96ee01bb219a44b285de47bf33c3447ad5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,LEOX,WETH,10000,eth_paired
0x00cc0523b7a2b97f1d52bea1b7a0c50027e0a706,0x35d8949372d46b7a3d5a56006ae77b215fc69bc0,0xdac17f958d2ee523a2206206994597c13d831ec7,USD0++,USDT,3000,other
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,0x4fabb145d64652a948d72533023f6e7a623c7c53,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,BUSD,USDC,500,stablecoin
0x00da578acb3381f48f187374cda78d6824676f27,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa469b7ee9ee773642b3e93e842e5d9b5baa10067,WBTC,USDz,500,other
0x00e5066de0a0265815699a1c8b448398af33cbe9,0x5c888fa2e6f9f0880321683d1efa12e936fd5051,0x68d009f251ff3a271477f77acb704c3b0f32a0c0,CHAD,CHAD,10000,other
0x00e8ff39a5bbead0c23e5de771d00452b832260f,0x691d3d7bb9e73a9eea9b153b5dfb4f97b1bf87ac,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Bubble Gum by Matt Furie ,WETH,10000,eth_paired
0x00ed26e794b949e18b142f9108429b74ce08ac99,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c,WETH,SPX,10000,eth_paired
0x00f59b15dc1fe2e16cde0678d2164fd5ff10e424,0x15b543e986b8c34074dfc9901136d9355a537e7e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,STC,WETH,10000,eth_paired
0x00ffeed50dd3adc636fa2f955ce76135215a0218,0x000000001326d79898524c0129e38897d01a47fc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,fpCOOL,WETH,10000,eth_paired
0x0105b9b95f63e54650f70125402588ad329d5b00,0xa93d86af16fe83f064e3c0e2f3d129f7b7b002b0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,COCORO,WETH,10000,eth_paired
0x0110660ec3fede0425183efd88cf5c4341ffc304,0x6e08b5d1169765f94d5ace5524f56e8ac75b77c6,0xddc6625feca10438857dd8660c021cd1088806fb,BRO,RAD,10000,other
0x0110cbef91629ea8c0ca2a055700af5800fc1308,0x695b68aa6083c3e675da6b9d0635b22eff50a265,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,WETH,10000,eth_paired
0x012e81e763c5a188b501d2fa41f0ca506db9d01c,0xa02c49da76a085e4e1ee60a6b920ddbc8db599f4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,TREAT,WETH,10000,eth_paired
0x0133f1ae48d176b2caade3344f3bc2a9a71f6d55,0x926ff6584b5905cc793cfb19bfc0ad6443671f47,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,PABLO,WETH,10000,eth_paired
0x0143b80d682d2b6fb8945f47b7d199841ab8184c,0x2dff88a56767223a5529ea5960da7a3f5f766406,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ID,USDC,10000,other
0x01680d92d9f20db0069d521c980fccfcb0965c5b,0x866a2bf4e572cbcf37d5071a7a58503bfb36be1b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,M,USDC,100,other
0x0170915a0a6de6eb8dfc4e0f7415ad5a5a2be180,0x799ebfabe77a6e34311eeee9825190b9ece32824,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,BTRST,USDC,10000,other
0x0170efe5bb54476cc9330c93a51544c3e224f90a,0x12a363f54a2d5541f48b4879705dae0df1462654,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,BabyETH,WETH,3000,eth_paired
0x017bded2b983fffaf963c7ca4736a3f63a2886ab,0x6b175474e89094c44da98b954eedeac495271d0f,0x6f2495e244915b164df57ba135f8430fa01c4d25,DAI,Toil,500,other
0x017e1dc7a0e8310d9eb86870e4282f1f59321987,0xba374579925eac2a9c7446b30ec4339e9c7c2658,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DANGER,WETH,10000,eth_paired
0x01949be3cb5f6a5154ce7c0455a14a976deb9115,0x22d2b0220115b3b83618d239e14c8e600a64a8c1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MAGMA,WETH,10000,eth_paired
0x01a8227d4e7c3068ad1000c97a059af5c5fa3476,0x102c776ddb30c754ded4fdcc77a19230a60d4e4f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FLC,WETH,10000,eth_paired
0x01b21ad104e5cfda54e86f07ce7c39c8191e6e4a,0x69c97164c9829ab024d05efa96c8ea0d63012b89,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MeMeme,WETH,10000,eth_paired
0x01b94ac1abf25c132bced6918513f1822d0dc52f,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xd4419c2d3daa986dc30444fa333a846be44fd1eb,SUSHI,ZIK,10000,other
0x01bd1d1f933692dfc64d1d64cc3ed1c24887edaa,0x36e66fbbce51e4cd5bd3c62b637eb411b18949d4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,OMNI,WETH,3000,eth_paired
0x01bd773f9cb752ef356b57f3a1b4b39c1551a8b3,0x00a53d94df941de999daa6ebeeca1d8860030a88,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,KTA,WETH,3000,eth_paired
0x01be9965be02bebd9fb249a8c44f71c8f1f89b81,0x1c4853ec0d55e420002c5efabc7ed8e0ba7a4121,0xfbd5fd3f85e9f4c5e8b40eec9f8b8ab1caaa146b,Okinami,TREAT,10000,other
0x01c0aeaee4f9b9417237aef3556bc1d7bd00ec52,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe5544a2a5fa9b175da60d8eec67add5582bb31b0,WETH,HTK,10000,eth_paired
0x01de8b4a7a04012b7bb0a2cd1b5113877f24c3a0,0x76e222b07c53d28b89b0bac18602810fc22b49a8,0x96992046320c6b6b56712c3bb9353a0d3de7ce4a,JOE,MEME,3000,other
0x01e82ea6735864869c6f91889b3580efe70d6052,0x7b1a893e33e2d628080c42870199aa802f8d2e30,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,IM50E,WETH,10000,eth_paired
0x01f30d94091a3dd206968b53743bd2abe9cec799,0x3a707d56d538e85b783e8ce12b346e7fb6511f90,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,iETHV,USDC,3000,other
0x020c349a0541d76c16f501abc6b2e9c98adae892,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,USDC,SNX,10000,other
0x02108ae6b0320f7a67a7c8f064c5e2db24a1f103,0x25559f0abbaf2a928239d2f419181147cc2dad74,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,NUTS404,WETH,10000,eth_paired
0x021f7542293a4f720c033c60637d8d90423277d5,0x111111517e4929d3dcbdfa7cce55d30d4b6bc4d6,0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5,ICHI,BIT,3000,other
0x02249fbc47437a07a88ad7a124f2da9610856920,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdccf3968b667e515c9fc952aa6bf834eb9d8476c,WETH,VINCE,10000,eth_paired
